pipeline,vectorizer,model,avg_f1_macro,std_f1_macro
A,Binario,Logistic Regression,0.4555598722208101,0.012169070224605361
A,Frecuencia,Logistic Regression,0.45517406003860994,0.013370508903490109
A,TF-IDF,Logistic Regression,0.4024848286820856,0.003410988809839111
A,Frecuencia,Naive Bayes,0.3059069560023056,0.00873459453661271
A,Binario,Naive Bayes,0.27010160179403647,0.007121157683189019
A,TF-IDF,Naive Bayes,0.16359545455091232,0.001004960907905825
