pipeline,vectorizer,model,avg_f1_macro,std_f1_macro
A,Frecuencia,Logistic Regression,0.4546933721219212,0.009220176945885842
A,Binario,Logistic Regression,0.4467343855138671,0.013366289837485302
A,TF-IDF,Logistic Regression,0.3937580994705548,0.008264780191226432
A,Frecuencia,Naive Bayes,0.30841277775240084,0.0063641378293859425
A,Binario,Naive Bayes,0.27891918883471334,0.006654196512343607
A,TF-IDF,Naive Bayes,0.16371466772784019,0.0010684045584760532
