pipeline,vectorizer,model,avg_f1_macro,std_f1_macro
C (B + Lematización),Binary,MultinomialNB,0.2795529094764849,0.00619635582487009
C (B + Lematización),Binary,LogisticRegression,0.4508160616746341,0.016952691438783505
C (B + Lematización),Frequency,MultinomialNB,0.30946326087849524,0.0064346114336986835
C (B + Lematización),Frequency,LogisticRegression,0.45655780802871215,0.014603636157065813
C (B + Lematización),TF-IDF,MultinomialNB,0.1638191942382388,0.0002095756880275712
C (B + Lematización),TF-IDF,LogisticRegression,0.39104667717897196,0.009704477609462163
